file,TEXT,IMAGES,TABLES/DESIGN,EQUALITY TO PDF,COLORS,DONE,LAST_UPDATE_TS
intro-hebrew-bible/modulo-5/sessao-22.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-5/sessao-23.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-5/sessao-26.html,OK,NA,OK,OK,NA,YES,2026-08-18T01:45:00
intro-hebrew-bible/modulo-5/sessao-27.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-4/sessao-18.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-4/sessao-19.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-4/sessao-20.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-4/sessao-21.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-12.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-13.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-14.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-15.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-16.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-17.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-3/sessao-11.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-5.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-4.html,OK,PENDING,PENDING,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-3.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-2.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-1.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
intro-hebrew-bible/modulo-1/sessao-6.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T01:45:00
jacob/modulo-2/sessao-9.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-2/sessao-8.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-2/sessao-7.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-2/sessao-10.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-2/sessao-11.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-2/sessao-6.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-5/sessao-24.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-5/sessao-25.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-5/sessao-22.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-5/sessao-23.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-5/sessao-21.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-4/sessao-18.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-4/sessao-19.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-4/sessao-20.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-4/sessao-17.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-3/sessao-12.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-18T02:30:00
jacob/modulo-3/sessao-13.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-3/sessao-14.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-3/sessao-15.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-3/sessao-16.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-6/sessao-28.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jacob/modulo-6/sessao-29.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-6/sessao-26.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-6/sessao-27.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-1/sessao-5.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-1/sessao-4.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-1/sessao-3.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-1/sessao-2.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jacob/modulo-1/sessao-1.html,OK,OK,OK,OK,OK,YES,2026-08-18T02:30:00
jonah/modulo-2/sessao-9.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-2/sessao-8.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:10:27
jonah/modulo-2/sessao-7.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-2/sessao-6.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-28.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-24.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-25.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-22.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-23.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-26.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-5/sessao-27.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:10:27
jonah/modulo-4/sessao-18.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-4/sessao-15.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-4/sessao-19.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-4/sessao-20.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:10:27
jonah/modulo-4/sessao-16.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-4/sessao-17.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-4/sessao-21.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-3/sessao-12.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-3/sessao-13.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-3/sessao-14.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-3/sessao-10.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-3/sessao-11.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-8/sessao-45.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-8/sessao-44.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-8/sessao-43.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-8/sessao-42.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-8/sessao-41.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-8/sessao-40.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-28.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-32.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-33.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-6/sessao-29.html,OK,OK,PENDING,PENDING,PENDING,NO,2026-08-17T23:54:06
jonah/modulo-6/sessao-34.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-35.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-30.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-6/sessao-31.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-1/sessao-5.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-1/sessao-4.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-1/sessao-3.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-1/sessao-2.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-1/sessao-1.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-7/sessao-38.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-7/sessao-39.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-7/sessao-36.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
jonah/modulo-7/sessao-37.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:10:27
joseph/modulo-2/sessao-5.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-2/sessao-9.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-2/sessao-8.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-2/sessao-7.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-2/sessao-6.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:22:13
joseph/modulo-5/sessao-18.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-5/sessao-19.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-5/sessao-20.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-4/sessao-13.html,OK,OK,OK,PENDING,PENDING,NO,2026-08-18T00:10:00
joseph/modulo-4/sessao-14.html,OK,OK,OK,OK,OK (@biblia-texto-2: boxes .v-black/.v-light aplicados nos blocos de texto bíblico + cores CSS normalizadas p/ hex exato do PDF),YES,2026-08-17T23:26:00
joseph/modulo-4/sessao-15.html,OK,OK,OK,OK,OK,YES,2026-08-17T23:26:24
